number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_fixed_params,state
77,0.5779979464183591,2025-06-24 09:23:14.875649,2025-06-24 12:12:56.899708,0 days 02:49:42.024059,19,log2,0.6117231694670213,0.041844728782581275,2,9,341,,COMPLETE
42,0.5792813473761,2025-06-24 01:02:09.644736,2025-06-24 03:18:00.382616,0 days 02:15:50.737880,21,log2,0.5388814765662143,0.005259471756525369,5,10,295,,COMPLETE
3,0.5793996962958494,2025-06-23 17:38:22.409250,2025-06-23 19:06:55.305514,0 days 01:28:32.896264,27,sqrt,0.7104656231624642,0.030709417431294107,4,5,337,,COMPLETE
47,0.5795656560188979,2025-06-24 02:16:53.794180,2025-06-24 04:52:03.018705,0 days 02:35:09.224525,27,sqrt,0.9659403159570317,0.023704411719132706,5,6,338,,COMPLETE
39,0.5798310040691979,2025-06-24 00:24:02.533496,2025-06-24 02:48:37.186426,0 days 02:24:34.652930,22,log2,0.8640741950501099,0.022063907654561822,7,16,313,,COMPLETE
43,0.5800686080085113,2025-06-24 01:17:31.115581,2025-06-24 03:41:51.714010,0 days 02:24:20.598429,23,sqrt,0.6783884601473499,0.02941458210704826,2,9,391,,COMPLETE
67,0.580987040418812,2025-06-24 07:13:41.026474,2025-06-24 09:23:14.861523,0 days 02:09:33.835049,21,log2,0.570870186013139,0.04987177181719055,3,14,229,,COMPLETE
20,0.5810221879136062,2025-06-23 20:08:12.534552,2025-06-23 22:28:15.030772,0 days 02:20:02.496220,24,log2,0.7938355114478233,0.014950032895987155,8,8,331,,COMPLETE
31,0.5810930211276094,2025-06-23 22:46:02.500523,2025-06-24 00:48:46.313886,0 days 02:02:43.813363,19,log2,0.8340199111332973,0.03960476102133931,8,6,274,,COMPLETE
84,0.5811544624835923,2025-06-24 11:21:36.836160,2025-06-24 13:29:26.323943,0 days 02:07:49.487783,24,log2,0.9360716552757622,0.02832824716645534,9,14,227,,COMPLETE
52,0.581655555098546,2025-06-24 03:18:00.396280,2025-06-24 05:50:26.490363,0 days 02:32:26.094083,28,sqrt,0.5675760872897904,0.03007506294107114,2,9,206,,COMPLETE
35,0.5820071341885008,2025-06-23 23:36:30.591067,2025-06-24 01:52:25.051244,0 days 02:15:54.460177,21,sqrt,0.7439534528948084,0.047511767646237,5,9,354,,COMPLETE
101,0.5820734149204325,2025-06-24 15:02:00.576752,2025-06-24 18:04:33.235325,0 days 03:02:32.658573,26,sqrt,0.6683707568185647,0.017891828906222058,2,11,263,,COMPLETE
134,0.5820758018600979,2025-06-25 00:10:09.444110,2025-06-25 02:27:25.655806,0 days 02:17:16.211696,20,sqrt,0.9775108124356283,0.008512138728547919,6,9,268,,COMPLETE
78,0.5828298047926912,2025-06-24 09:38:46.781443,2025-06-24 12:24:59.186547,0 days 02:46:12.405104,30,log2,0.5648625344863842,0.04436688365605834,7,15,369,,COMPLETE
128,0.5833331898276308,2025-06-24 22:40:54.832416,2025-06-25 01:05:03.449735,0 days 02:24:08.617319,21,log2,0.7080924940155773,0.022055724767803365,4,20,336,,COMPLETE
125,0.5834622259034348,2025-06-24 21:44:35.014002,2025-06-25 00:33:51.895576,0 days 02:49:16.881574,22,sqrt,0.9897620845359687,0.00805156861425102,7,10,300,,COMPLETE
119,0.5836006054955205,2025-06-24 19:56:15.413346,2025-06-24 22:58:36.701494,0 days 03:02:21.288148,17,log2,0.9123633531140158,0.013773541219047931,9,10,374,,COMPLETE
89,0.5836098005712471,2025-06-24 12:35:25.463305,2025-06-24 14:39:09.093916,0 days 02:03:43.630611,20,log2,0.6281117450717558,0.014549357513705403,6,18,337,,COMPLETE
105,0.5837318490084482,2025-06-24 16:11:12.604149,2025-06-24 19:05:05.801581,0 days 02:53:53.197432,16,log2,0.8869213663429978,0.047398527530280433,5,11,374,,COMPLETE
92,0.5838101294936507,2025-06-24 13:07:19.731716,2025-06-24 15:31:29.386886,0 days 02:24:09.655170,30,sqrt,0.8581761233159726,0.012726642184566372,5,14,399,,COMPLETE
104,0.5841159370264748,2025-06-24 15:59:16.471980,2025-06-24 18:47:59.011520,0 days 02:48:42.539540,19,log2,0.5747118694067244,0.023158380391516027,6,17,308,,COMPLETE
26,0.5843023439776538,2025-06-23 21:41:51.543335,2025-06-23 23:49:46.246278,0 days 02:07:54.702943,23,log2,0.8679511789331903,0.038760025915534846,11,12,295,,COMPLETE
27,0.5846090231289617,2025-06-23 21:49:45.955103,2025-06-23 23:57:34.372806,0 days 02:07:48.417703,20,log2,0.5314507488562729,0.042108722900386364,8,5,246,,COMPLETE
58,0.5846974410910918,2025-06-24 05:09:21.370890,2025-06-24 07:25:59.495144,0 days 02:16:38.124254,17,log2,0.7821177479584582,0.041515859630398465,9,19,315,,COMPLETE
4,0.5847009392798252,2025-06-23 17:38:22.410091,2025-06-23 19:36:28.605383,0 days 01:58:06.195292,27,log2,0.8147491291386654,0.032793510615209485,11,16,275,,COMPLETE
49,0.5849265398140246,2025-06-24 02:48:37.206883,2025-06-24 05:18:55.973004,0 days 02:30:18.766121,21,log2,0.6817904352262816,0.016033336914426422,10,18,274,,COMPLETE
91,0.5849860434914975,2025-06-24 12:58:53.630478,2025-06-24 15:02:00.538058,0 days 02:03:06.907580,28,log2,0.7823124837928389,0.023379662773246858,11,17,245,,COMPLETE
73,0.5851066049232776,2025-06-24 08:37:02.579463,2025-06-24 11:07:15.539294,0 days 02:30:12.959831,20,sqrt,0.7237605630675643,0.005299481359640934,6,13,292,,COMPLETE
